Брейшит, Брейшит 1:1-6:8
Алия 1, Брейшит 1:1-2:3
Алия 2, Брейшит 2:4-2:19
Алия 3, Брейшит 2:20-3:21
Алия 4, Брейшит 3:22-4:18
Алия 5, Брейшит 4:19-4:22
Алия 6, Брейшит 4:23-5:24
Алия 7, Брейшит 5:25-6:8
Мафтир, Брейшит 6:5-6:8

Ноах, Брейшит 6:9-11:32
Алия 1, Брейшит 6:9-6:22
Алия 2, Брейшит 7:1-7:16
Алия 3, Брейшит 7:17-8:14
Алия 4, Брейшит 8:15-9:7
Алия 5, Брейшит 9:8-9:17
Алия 6, Брейшит 9:18-10:32
Алия 7, Брейшит 11:1-11:32
Мафтир, Брейшит 11:29-11:32

Лех-Леха, Брейшит 12:1-17:27
Алия 1, Брейшит 12:1-12:13
Алия 2, Брейшит 12:14-13:4
Алия 3, Брейшит 13:5-13:18
Алия 4, Брейшит 14:1-14:20
Алия 5, Брейшит 14:21-15:6
Алия 6, Брейшит 15:7-17:6
Алия 7, Брейшит 17:7-17:27
Мафтир, Брейшит 17:24-17:27

Вайера, Брейшит 18:1-22:24
Алия 1, Брейшит 18:1-18:14
Алия 2, Брейшит 18:15-18:33
Алия 3, Брейшит 19:1-19:20
Алия 4, Брейшит 19:21-21:4
Алия 5, Брейшит 21:5-21:21
Алия 6, Брейшит 21:22-21:34
Алия 7, Брейшит 22:1-22:24
Мафтир, Брейшит 22:20-22:24

Хайей-Сара, Брейшит 23:1-25:18
Алия 1, Брейшит 23:1-23:16
Алия 2, Брейшит 23:17-24:9
Алия 3, Брейшит 24:10-24:26
Алия 4, Брейшит 24:27-24:52
Алия 5, Брейшит 24:53-24:67
Алия 6, Брейшит 25:1-25:11
Алия 7, Брейшит 25:12-25:18
Мафтир, Брейшит 25:16-25:18

Толдот, Брейшит 25:19-28:9
Алия 1, Брейшит 25:19-26:5
Алия 2, Брейшит 26:6-26:12
Алия 3, Брейшит 26:13-26:22
Алия 4, Брейшит 26:23-26:29
Алия 5, Брейшит 26:30-27:27
Алия 6, Брейшит 27:28-28:4
Алия 7, Брейшит 28:5-28:9
Мафтир, Брейшит 28:7-28:9

Вайеце, Брейшит 28:10-32:3
Алия 1, Брейшит 28:10-28:22
Алия 2, Брейшит 29:1-29:17
Алия 3, Брейшит 29:18-30:13
Алия 4, Брейшит 30:14-30:27
Алия 5, Брейшит 30:28-31:16
Алия 6, Брейшит 31:17-31:42
Алия 7, Брейшит 31:43-32:3
Мафтир, Брейшит 32:1-32:3

Вайишлах, Брейшит 32:4-36:43
Алия 1, Брейшит 32:4-32:13
Алия 2, Брейшит 32:14-32:30
Алия 3, Брейшит 32:31-33:5
Алия 4, Брейшит 33:6-33:20
Алия 5, Брейшит 34:1-35:11
Алия 6, Брейшит 35:12-36:19
Алия 7, Брейшит 36:20-36:43
Мафтир, Брейшит 36:40-36:43

Вайешев, Брейшит 37:1-40:23
Алия 1, Брейшит 37:1-37:11
Алия 2, Брейшит 37:12-37:22
Алия 3, Брейшит 37:23-37:36
Алия 4, Брейшит 38:1-38:30
Алия 5, Брейшит 39:1-39:6
Алия 6, Брейшит 39:7-39:23
Алия 7, Брейшит 40:1-40:23
Мафтир, Брейшит 40:20-40:23

Микец, Брейшит 41:1-44:17
Алия 1, Брейшит 41:1-41:14
Алия 2, Брейшит 41:15-41:38
Алия 3, Брейшит 41:39-41:52
Алия 4, Брейшит 41:53-42:18
Алия 5, Брейшит 42:19-43:15
Алия 6, Брейшит 43:16-43:29
Алия 7, Брейшит 43:30-44:17
Мафтир, Брейшит 44:14-44:17

Вайигаш, Брейшит 44:18-47:27
Алия 1, Брейшит 44:18-44:30
Алия 2, Брейшит 44:31-45:7
Алия 3, Брейшит 45:8-45:18
Алия 4, Брейшит 45:19-45:27
Алия 5, Брейшит 45:28-46:27
Алия 6, Брейшит 46:28-47:10
Алия 7, Брейшит 47:11-47:27
Мафтир, Брейшит 47:25-47:27

Вайехи, Брейшит 47:28-50:26
Алия 1, Брейшит 47:28-48:9
Алия 2, Брейшит 48:10-48:16
Алия 3, Брейшит 48:17-48:22
Алия 4, Брейшит 49:1-49:18
Алия 5, Брейшит 49:19-49:26
Алия 6, Брейшит 49:27-50:20
Алия 7, Брейшит 50:21-50:26
Мафтир, Брейшит 50:23-50:26

Шмот, Шмот 1:1-6:1
Алия 1, Шмот 1:1-1:17
Алия 2, Шмот 1:18-2:10
Алия 3, Шмот 2:11-2:25
Алия 4, Шмот 3:1-3:15
Алия 5, Шмот 3:16-4:17
Алия 6, Шмот 4:18-4:31
Алия 7, Шмот 5:1-6:1
Мафтир, Шмот 5:22-6:1

Ваэра, Шмот 6:2-9:35
Алия 1, Шмот 6:2-6:13
Алия 2, Шмот 6:14-6:28
Алия 3, Шмот 6:29-7:7
Алия 4, Шмот 7:8-8:6
Алия 5, Шмот 8:7-8:18
Алия 6, Шмот 8:19-9:16
Алия 7, Шмот 9:17-9:35
Мафтир, Шмот 9:33-9:35

Бо, Шмот 10:1-13:16
Алия 1, Шмот 10:1-10:11
Алия 2, Шмот 10:12-10:23
Алия 3, Шмот 10:24-11:3
Алия 4, Шмот 11:4-12:20
Алия 5, Шмот 12:21-12:28
Алия 6, Шмот 12:29-12:51
Алия 7, Шмот 13:1-13:16
Мафтир, Шмот 13:14-13:16

Бэшалах, Шмот 13:17-17:16
Алия 1, Шмот 13:17-14:8
Алия 2, Шмот 14:9-14:14
Алия 3, Шмот 14:15-14:25
Алия 4, Шмот 14:26-15:26
Алия 5, Шмот 15:27-16:10
Алия 6, Шмот 16:11-16:36
Алия 7, Шмот 17:1-17:16
Мафтир, Шмот 17:14-17:16

Итро, Шмот 18:1-20:23
Алия 1, Шмот 18:1-18:12
Алия 2, Шмот 18:13-18:23
Алия 3, Шмот 18:24-18:27
Алия 4, Шмот 19:1-19:6
Алия 5, Шмот 19:7-19:19
Алия 6, Шмот 19:20-20:14
Алия 7, Шмот 20:15-20:23
Мафтир, Шмот 20:19-20:23

Мишпатим, Шмот 21:1-24:18
Алия 1, Шмот 21:1-21:19
Алия 2, Шмот 21:20-22:3
Алия 3, Шмот 22:4-22:26
Алия 4, Шмот 22:27-23:5
Алия 5, Шмот 23:6-23:19
Алия 6, Шмот 23:20-23:25
Алия 7, Шмот 23:26-24:18
Мафтир, Шмот 24:15-24:18

Трума, Шмот 21:1-24:18
Алия 1, Шмот 25:1-25:16
Алия 2, Шмот 25:17-25:40
Алия 3, Шмот 26:1-26:14
Алия 4, Шмот 26:15-26:30
Алия 5, Шмот 26:31-26:37
Алия 6, Шмот 27:1-27:8
Алия 7, Шмот 27:9-27:19
Мафтир, Шмот 27:17-27:19

Тэцавэ, Шмот 27:20-30:10
Алия 1, Шмот 27:20-28:12
Алия 2, Шмот 28:13-28:30
Алия 3, Шмот 28:31-28:43
Алия 4, Шмот 29:1-29:18
Алия 5, Шмот 29:19-29:37
Алия 6, Шмот 29:38-29:46
Алия 7, Шмот 30:1-30:10
Мафтир, Шмот 30:8-30:10

