Bereshit, Bereshit 1:1-6:8
Aliyah 1, Bereshit 1:1-2:3
Aliyah 2, Bereshit 2:4-2:19
Aliyah 3, Bereshit 2:20-3:21
Aliyah 4, Bereshit 3:22-4:18
Aliyah 5, Bereshit 4:19-4:22
Aliyah 6, Bereshit 4:23-5:24
Aliyah 7, Bereshit 5:25-6:8
Maftir, Bereshit 6:5-6:8

Noach, Bereshit 6:9-11:32
Aliyah 1, Bereshit 6:9-6:22
Aliyah 2, Bereshit 7:1-7:16
Aliyah 3, Bereshit 7:17-8:14
Aliyah 4, Bereshit 8:15-9:7
Aliyah 5, Bereshit 9:8-9:17
Aliyah 6, Bereshit 9:18-10:32
Aliyah 7, Bereshit 11:1-11:32
Maftir, Bereshit 11:29-11:32

Lech-Lecha, Bereshit 12:1-17:27
Aliyah 1, Bereshit 12:1-12:13
Aliyah 2, Bereshit 12:14-13:4
Aliyah 3, Bereshit 13:5-13:18
Aliyah 4, Bereshit 14:1-14:20
Aliyah 5, Bereshit 14:21-15:6
Aliyah 6, Bereshit 15:7-17:6
Aliyah 7, Bereshit 17:7-17:27
Maftir, Bereshit 17:24-17:27

Vayera, Bereshit 18:1-22:24
Aliyah 1, Bereshit 18:1-18:14
Aliyah 2, Bereshit 18:15-18:33
Aliyah 3, Bereshit 19:1-19:20
Aliyah 4, Bereshit 19:21-21:4
Aliyah 5, Bereshit 21:5-21:21
Aliyah 6, Bereshit 21:22-21:34
Aliyah 7, Bereshit 22:1-22:24
Maftir, Bereshit 22:20-22:24

Chayei Sara, Bereshit 23:1-25:18
Aliyah 1, Bereshit 23:1-23:16
Aliyah 2, Bereshit 23:17-24:9
Aliyah 3, Bereshit 24:10-24:26
Aliyah 4, Bereshit 24:27-24:52
Aliyah 5, Bereshit 24:53-24:67
Aliyah 6, Bereshit 25:1-25:11
Aliyah 7, Bereshit 25:12-25:18
Maftir, Bereshit 25:16-25:18

Toldot, Bereshit 25:19-28:9
Aliyah 1, Bereshit 25:19-26:5
Aliyah 2, Bereshit 26:6-26:12
Aliyah 3, Bereshit 26:13-26:22
Aliyah 4, Bereshit 26:23-26:29
Aliyah 5, Bereshit 26:30-27:27
Aliyah 6, Bereshit 27:28-28:4
Aliyah 7, Bereshit 28:5-28:9
Maftir, Bereshit 28:7-28:9

Vayetzei, Bereshit 28:10-32:3
Aliyah 1, Bereshit 28:10-28:22
Aliyah 2, Bereshit 29:1-29:17
Aliyah 3, Bereshit 29:18-30:13
Aliyah 4, Bereshit 30:14-30:27
Aliyah 5, Bereshit 30:28-31:16
Aliyah 6, Bereshit 31:17-31:42
Aliyah 7, Bereshit 31:43-32:3
Maftir, Bereshit 32:1-32:3

Vayishlach, Bereshit 32:4-36:43
Aliyah 1, Bereshit 32:4-32:13
Aliyah 2, Bereshit 32:14-32:30
Aliyah 3, Bereshit 32:31-33:5
Aliyah 4, Bereshit 33:6-33:20
Aliyah 5, Bereshit 34:1-35:11
Aliyah 6, Bereshit 35:12-36:19
Aliyah 7, Bereshit 36:20-36:43
Maftir, Bereshit 36:40-36:43

Vayeshev, Bereshit 37:1-40:23
Aliyah 1, Bereshit 37:1-37:11
Aliyah 2, Bereshit 37:12-37:22
Aliyah 3, Bereshit 37:23-37:36
Aliyah 4, Bereshit 38:1-38:30
Aliyah 5, Bereshit 39:1-39:6
Aliyah 6, Bereshit 39:7-39:23
Aliyah 7, Bereshit 40:1-40:23
Maftir, Bereshit 40:20-40:23

Miketz, Bereshit 41:1-44:17
Aliyah 1, Bereshit 41:1-41:14
Aliyah 2, Bereshit 41:15-41:38
Aliyah 3, Bereshit 41:39-41:52
Aliyah 4, Bereshit 41:53-42:18
Aliyah 5, Bereshit 42:19-43:15
Aliyah 6, Bereshit 43:16-43:29
Aliyah 7, Bereshit 43:30-44:17
Maftir, Bereshit 44:14-44:17

Vayigash, Bereshit 44:18-47:27
Aliyah 1, Bereshit 44:18-44:30
Aliyah 2, Bereshit 44:31-45:7
Aliyah 3, Bereshit 45:8-45:18
Aliyah 4, Bereshit 45:19-45:27
Aliyah 5, Bereshit 45:28-46:27
Aliyah 6, Bereshit 46:28-47:10
Aliyah 7, Bereshit 47:11-47:27
Maftir, Bereshit 47:25-47:27

Vayechi, Bereshit 47:28-50:26
Aliyah 1, Bereshit 47:28-48:9
Aliyah 2, Bereshit 48:10-48:16
Aliyah 3, Bereshit 48:17-48:22
Aliyah 4, Bereshit 49:1-49:18
Aliyah 5, Bereshit 49:19-49:26
Aliyah 6, Bereshit 49:27-50:20
Aliyah 7, Bereshit 50:21-50:26
Maftir, Bereshit 50:23-50:26

Shemot, Shemot 1:1-6:1
Aliyah 1, Shemot 1:1-1:17
Aliyah 2, Shemot 1:18-2:10
Aliyah 3, Shemot 2:11-2:25
Aliyah 4, Shemot 3:1-3:15
Aliyah 5, Shemot 3:16-4:17
Aliyah 6, Shemot 4:18-4:31
Aliyah 7, Shemot 5:1-6:1
Maftir, Shemot 5:22-6:1

Vaera, Shemot 6:2-9:35
Aliyah 1, Shemot 6:2-6:13
Aliyah 2, Shemot 6:14-6:28
Aliyah 3, Shemot 6:29-7:7
Aliyah 4, Shemot 7:8-8:6
Aliyah 5, Shemot 8:7-8:18
Aliyah 6, Shemot 8:19-9:16
Aliyah 7, Shemot 9:17-9:35
Maftir, Shemot 9:33-9:35

Bo, Shemot 10:1-13:16
Aliyah 1, Shemot 10:1-10:11
Aliyah 2, Shemot 10:12-10:23
Aliyah 3, Shemot 10:24-11:3
Aliyah 4, Shemot 11:4-12:20
Aliyah 5, Shemot 12:21-12:28
Aliyah 6, Shemot 12:29-12:51
Aliyah 7, Shemot 13:1-13:16
Maftir, Shemot 13:14-13:16

Beshalach, Shemot 13:17-17:16
Aliyah 1, Shemot 13:17-14:8
Aliyah 2, Shemot 14:9-14:14
Aliyah 3, Shemot 14:15-14:25
Aliyah 4, Shemot 14:26-15:26
Aliyah 5, Shemot 15:27-16:10
Aliyah 6, Shemot 16:11-16:36
Aliyah 7, Shemot 17:1-17:16
Maftir, Shemot 17:14-17:16

Yitro, Shemot 18:1-20:23
Aliyah 1, Shemot 18:1-18:12
Aliyah 2, Shemot 18:13-18:23
Aliyah 3, Shemot 18:24-18:27
Aliyah 4, Shemot 19:1-19:6
Aliyah 5, Shemot 19:7-19:19
Aliyah 6, Shemot 19:20-20:14
Aliyah 7, Shemot 20:15-20:23
Maftir, Shemot 20:19-20:23

Mishpatim, Shemot 21:1-24:18
Aliyah 1, Shemot 21:1-21:19
Aliyah 2, Shemot 21:20-22:3
Aliyah 3, Shemot 22:4-22:26
Aliyah 4, Shemot 22:27-23:5
Aliyah 5, Shemot 23:6-23:19
Aliyah 6, Shemot 23:20-23:25
Aliyah 7, Shemot 23:26-24:18
Maftir, Shemot 24:15-24:18

Terumah, Shemot 21:1-24:18
Aliyah 1, Shemot 25:1-25:16
Aliyah 2, Shemot 25:17-25:40
Aliyah 3, Shemot 26:1-26:14
Aliyah 4, Shemot 26:15-26:30
Aliyah 5, Shemot 26:31-26:37
Aliyah 6, Shemot 27:1-27:8
Aliyah 7, Shemot 27:9-27:19
Maftir, Shemot 27:17-27:19

Tetzaveh, Shemot 27:20-30:10
Aliyah 1, Shemot 27:20-28:12
Aliyah 2, Shemot 28:13-28:30
Aliyah 3, Shemot 28:31-28:43
Aliyah 4, Shemot 29:1-29:18
Aliyah 5, Shemot 29:19-29:37
Aliyah 6, Shemot 29:38-29:46
Aliyah 7, Shemot 30:1-30:10
Maftir, Shemot 30:8-30:10

Ki Tisa, Shemot 30:11-34:35
Aliyah 1, Shemot 30:11-31:17
Aliyah 2, Shemot 31:18-33:11
Aliyah 3, Shemot 33:12-33:16
Aliyah 4, Shemot 33:17-33:23
Aliyah 5, Shemot 34:1-34:9
Aliyah 6, Shemot 34:10-34:26
Aliyah 7, Shemot 34:27-34:35
Maftir, Shemot 34:33-34:35

Vayakhel, Shemot 35:1-38:20
Aliyah 1, Shemot 35:1-35:20
Aliyah 2, Shemot 35:21-35:29
Aliyah 3, Shemot 35:30-36:7
Aliyah 4, Shemot 36:8-36:19
Aliyah 5, Shemot 36:20-37:16
Aliyah 6, Shemot 37:17-37:29
Aliyah 7, Shemot 38:1-38:20
Maftir, Shemot 38:18-38:20

Pekudei, Shemot 38:21-40:38
Aliyah 1, Shemot 38:21-39:1
Aliyah 2, Shemot 39:2-39:21
Aliyah 3, Shemot 39:22-39:32
Aliyah 4, Shemot 39:33-39:43
Aliyah 5, Shemot 40:1-40:16
Aliyah 6, Shemot 40:17-40:27
Aliyah 7, Shemot 40:28-40:38
Maftir, Shemot 40:34-40:38

Vayikra, Vayikra 1:1-5:26
Aliyah 1, Vayikra 1:1-1:13
Aliyah 2, Vayikra 1:14-2:6
Aliyah 3, Vayikra 2:7-2:16
Aliyah 4, Vayikra 3:1-3:17
Aliyah 5, Vayikra 4:1-4:26
Aliyah 6, Vayikra 4:27-5:10
Aliyah 7, Vayikra 5:11-5:26
Maftir, Vayikra 5:24-5:26

Tzav, Vayikra 6:1-8:36
Aliyah 1, Vayikra 6:1-6:11
